Epoch 000 | Iter 006000 | Step 0006001 | G-Cycle: 0.3338 | G-L1: 0.1505 | G-Adv: 1.4868 | Gc-Adv: 2.2093 | G-Sum: 3.9383 | D: 2.7745 | Dc: 2.7908
Epoch 000 | Iter 006100 | Step 0006101 | G-Cycle: 0.2571 | G-L1: 0.1872 | G-Adv: 1.4109 | Gc-Adv: 1.8174 | G-Sum: 3.4504 | D: 2.7751 | Dc: 2.9596
Epoch 000 | Iter 006200 | Step 0006201 | G-Cycle: 0.2113 | G-L1: 0.1241 | G-Adv: 1.3435 | Gc-Adv: 1.9732 | G-Sum: 3.4844 | D: 2.7737 | Dc: 2.0751
Epoch 000 | Iter 006300 | Step 0006301 | G-Cycle: 0.2581 | G-L1: 0.1801 | G-Adv: 1.5103 | Gc-Adv: 1.9535 | G-Sum: 3.6829 | D: 2.7804 | Dc: 2.6507
Epoch 000 | Iter 006400 | Step 0006401 | G-Cycle: 0.3923 | G-L1: 0.2146 | G-Adv: 1.3944 | Gc-Adv: 1.7672 | G-Sum: 3.4651 | D: 2.8188 | Dc: 2.7136
Epoch 000 | Iter 006500 | Step 0006501 | G-Cycle: 0.5966 | G-L1: 0.2110 | G-Adv: 1.5214 | Gc-Adv: 2.2416 | G-Sum: 4.1668 | D: 2.8633 | Dc: 2.2791
Epoch 000 | Iter 006600 | Step 0006601 | G-Cycle: 0.2361 | G-L1: 0.1501 | G-Adv: 1.3589 | Gc-Adv: 1.9203 | G-Sum: 3.4723 | D: 2.7732 | Dc: 2.6385
Epoch 000 | Iter 006700 | Step 0006701 | G-Cycle: 0.3372 | G-L1: 0.2157 | G-Adv: 1.3942 | Gc-Adv: 1.7947 | G-Sum: 3.4654 | D: 2.7728 | Dc: 2.3324
Epoch 000 | Iter 006800 | Step 0006801 | G-Cycle: 0.3203 | G-L1: 0.1907 | G-Adv: 1.3918 | Gc-Adv: 2.2082 | G-Sum: 3.8555 | D: 2.7764 | Dc: 2.8509
Epoch 000 | Iter 006900 | Step 0006901 | G-Cycle: 0.2408 | G-L1: 0.2025 | G-Adv: 1.3664 | Gc-Adv: 1.9092 | G-Sum: 3.4973 | D: 2.7724 | Dc: 2.7862
Epoch 000 | Iter 007000 | Step 0007001 | G-Cycle: 0.3130 | G-L1: 0.1531 | G-Adv: 1.1148 | Gc-Adv: 2.1196 | G-Sum: 3.4675 | D: 2.7740 | Dc: 2.3008
Epoch 000 | Iter 007100 | Step 0007101 | G-Cycle: 0.3643 | G-L1: 0.3698 | G-Adv: 1.3626 | Gc-Adv: 1.7899 | G-Sum: 3.5195 | D: 2.7697 | Dc: 2.4467
Epoch 000 | Iter 007200 | Step 0007201 | G-Cycle: 0.4067 | G-L1: 0.1714 | G-Adv: 1.2480 | Gc-Adv: 1.7964 | G-Sum: 3.3334 | D: 2.7802 | Dc: 2.7759
Epoch 000 | Iter 007300 | Step 0007301 | G-Cycle: 0.3223 | G-L1: 0.2074 | G-Adv: 1.3942 | Gc-Adv: 1.4714 | G-Sum: 3.1305 | D: 2.7798 | Dc: 2.8624
